sha256_hash,file_count,split_count,class_count,cross_split,label_conflict
5f51fecec97f1264f4cb6a9f7d0d847f17e49033ec034b11d2cc5c8b79ba6519,2,1,1,False,False
6296fc94ca1dba543a77ac0312ae4eda86053a44d81a9151e77e1e6b90bd91d3,2,1,1,False,False
64eee5cd2516c265ea888fc3d784e97daed289385a487567e66b2aabacf50555,2,1,1,False,False
65171c43207bd38c794fd14bf5f513325e8a4fe207f71539009bfb4f78b347d8,2,1,1,False,False
682871b3c7250e0c56b28688840ac15101ec847a891e0b2d2cb72f0436ff8073,2,1,1,False,False
690ed9d73b96706b833cfbb95e40543fe022c7579ab74693873e2c26766c5efb,2,1,1,False,False
6b73dc365fbc93ff66b40c68f2e5cd259e650193088389a5f1b968b8c537f4f4,2,1,1,False,False
6c374ab41105e5927d08e15103c8c27416f8e7d03c15c03d104ace5b310bd0ed,2,1,1,False,False
6c8c2a11f01b532a75a01f052e3f536e10bcdca633e77ef3001d8ed852e83ee7,2,1,1,False,False
6e4a32b7a73554a9a26b0e594f63d76920f7caeea52be19c323f8ad755d17f8b,3,1,1,False,False
6f3bdbdba45d1f985b33e51c93c318e0f04f2c3186dfae874050a99a11b1af02,2,1,1,False,False
72f5f6723c7b92f641fb5d44513b6111c348e43005f8c1f4829f28eebd1117b2,3,1,1,False,False
73a882655ceb0a5b8d3f4beea54d9ab58aa36e1021e7807dbb1c72617d4dfecc,2,1,1,False,False
75a94d8802948910edc24b520257853ad379e8be91af1393bd6b5092b23e05b1,2,1,1,False,False
76d577713f1cf4414f780058f2079f7e6446aba86e89a86d7dd36401ca79a727,2,1,1,False,False
79b6fe05b46ee2a734c4da64cd109bc508bfd1b76f46e9c496dbb406f86139f9,2,1,1,False,False
7a7fcfb55378e4367cb3f163dc510df7e4b5f95d8fee5e4407b6ef397d56e243,2,1,1,False,False
7adb02dafa127d16b635a76df10314f68ded12fa7a20457e4d666d2873a2130f,2,1,1,False,False
7c103b082c141631e8475390a8b06ef7ef0cfba10e61cf2d4ce9dd1e2b08dfb0,2,1,1,False,False
7d0738e4f6493b449e20a147b80f674c589dc478dd6b5ccd4fb6ea1c329f0cfe,3,1,1,False,False
7d5fb3078f6ed56884ebf8c14928f4e8e05ffd2065cf1b5f4b23cd6dfa3f49ef,2,1,1,False,False
7f04f0b6fd5821e19cf5a273a540df06a1f6bdcaa63bb235743e274fff825fbd,2,1,1,False,False
840e12a9d0fc509d61fab11db74d1716234312bd96939b632e19b8f102ace3cf,3,1,1,False,False
84acb850a9c5348cd00623122246c83dffd727e007aedc1d484e39d06e784c6f,2,1,1,False,False
84b2155377f2b5ec87d3988642b885d5b6249e7907486184ac311e15a8a599a9,2,1,1,False,False
86847c6a4729a4b19bf1b3f58905c68812c6f75ea680c0ccb1621b94e165d16f,2,1,1,False,False
8854fba4d018533127553c10ffebacf8d730192cb6f07d957ea5d3fb48421eea,2,1,1,False,False
8872585c004347ea73fad063e407998e62786cc8d7a0938ad85792f19a55eb0a,2,1,1,False,False
88aba8f5a882187bc3df678f2b3a88c6c59cec1c01fb732e5671a5ffb6a494d7,2,1,1,False,False
8a05324c1e59d079c88ad71e484739999eab506d3e7eb1bca857264329113b94,2,1,1,False,False
8a4a14e666a67b90bf01bac1b85170bacf41fda33c7a7394d5e82e83c6f6f324,2,1,1,False,False
8afa71fed3d0307237b24872056b750f3c06ee0d9527c35241b908eb7404080f,2,1,1,False,False
8c7a08207a2f8e5bf03ed590b3a482491a6abeb9b233a40604f3422065424112,3,1,1,False,False
8d1b8cb2975b43db869caaecbffd11f51651b6c25d35928f84cc295215cfb822,2,1,1,False,False
8d463bf588c1bc9e685df1729434a541f187054456fe244024966078fe1aef61,3,1,1,False,False
8df1125bc5a3901ae602be99db7d676e79744a93eb6ed69de91b86cdb087a7a1,2,1,1,False,False
8e2b4a6d3ce98d740a636942e40c14783eac078cf1758678c9d5aee948057aa7,2,1,1,False,False
8f9c305ee1ad7c0f9e616d2f95e5536f5858b575e81d7a56e98b574bb8a20666,2,1,1,False,False
90b09a698e88ffae221f5f5c0c732e7a17e93387b4e91fc0be28b3aa3b91ba33,2,1,1,False,False
917cadd5aad4a8288a4f759d4f4a261e66c3187dbace1293b76aa8434b691b37,2,1,1,False,False
9240553fcd8fe826ed548984db69d2d0178a14adb7aba345b6e7ba539e15d71f,2,1,1,False,False
93ea61a9b554ed27c76d767221bba1d6c8b24a03521aee53f4b822b89efa41b2,2,1,1,False,False
95ffabd6cfd94e094cd1af64396bfa75f578a012f52b23cbf8e5fa828ffa4863,2,1,1,False,False
9a1a7d12c935c0029511710dba377c2d37ecf4924ec19c1644b6116b48c33610,2,1,1,False,False
9c20281ccdd53888d2ebcecc9c71521ed2431500eb4448e1b63465c050a0e59f,2,1,1,False,False
a1ee82164acd190067400d50f236fbb6004c0002fe3c09e4cf2d71752865140b,2,1,1,False,False
a3d86920c0bc02e0c062091ab21078a4387ed519b881c89568ab969d3dc37d33,2,1,1,False,False
a820973ab9e444f92fdc4e5eb2e584a72d5da660675f1793469f229f40199538,2,1,1,False,False
a8bf58f1fee6cc15adfbbbbe78513606502269b917a52dfe0991621ad5ba401c,2,1,1,False,False
aa66d8e967787f1f68a537f5300e72131b53cc4706620d41e67f74b1eb53d931,2,1,1,False,False
ac081dc77c62c1902feb757aa652c2af19c67d31ec646fd3f2a50249729f570c,3,1,1,False,False
ac76926d9f73fd42c57092e3f991abe3036320552092ebf8d69d60d736a93622,2,1,1,False,False
ac76ca3b933520e9519c3fa096e38e281e467ae4bda0412daa34cb966954ff68,3,1,1,False,False
ae511b11b26309a2e60432852cb26d6b019057fc2aab35867badf8af04daa3b6,2,1,1,False,False
aff49c4e9fbe859bc0608338e96e8e4eab4743e7100c05f81b48e68a799d38d4,3,1,1,False,False
b19b70050792743117c0ca8237e721b433a3d76b7cd1ae7e2bfaa50f73985957,2,1,1,False,False
b204aa522460d1a772549e65023ac4f67b3ad1f57a1be54c59ece19fcd2d0081,3,1,1,False,False
b396caa83da170f384de32368fd40ab0fbb00232e12fd2b463eddff69741af44,2,1,1,False,False
b7217d07fe4b60f472aaeee4b36e8429d4a1685bbb9fd13c1d471835326e801d,2,1,1,False,False
b7c27d5f1a82137601cc7630779fe2aa120bd9cfd9ddf3a2607c86255de7c9f0,2,1,1,False,False
b8a72a6ed1229b7b33dc11c8641ebf15e55e9db20fd933e6372234013b8707b8,2,1,1,False,False
bd5b12c433485230720aa33032e1f6bd089702090481d7e56dccfa43435d6950,2,1,1,False,False
c1bf41ddb56396fd0e74b2eb7212c96a6a915ee86737c060c9db8e1439ff0390,3,1,1,False,False
c27c953b150b8cfa6c2820bac42a13a5d1b5b6420409973ba07a18542429afd5,2,1,1,False,False
c2bd43b2b8cdb63dc5b6d86fa972dbc4d8395278a5e7fac7f1c972f01921a206,2,1,1,False,False
c3e0dfa4276ce9ec6db117fa83397c51ba751c0031b7ee044b682e34b5a82100,2,1,1,False,False
c5482c04ad0af03abc08de261901fdaa6811a99ca11a270e8dc89c550e3ccdfa,2,1,1,False,False
c711a606ec66e74a2bbe5721727a3deeb2fd9e4b20aa50c99afd65d7dea42541,3,1,1,False,False
ca0417b4c4dc6ac92ebdeeb71231b1a60a16299d04b7735c1bf725aa0649d8c2,2,1,1,False,False
ca5a51914cad005d72af57fa6c9142fc9d650ca06ba23f3e839991c3fa4c8b36,3,1,1,False,False
